"Water Control Zone","Station","Dates","Sample No","Type","Zinc (mg/kg)","Vanadium (mg/kg)","Total Volatile Solid (% Total Solid)","Total Sulphide (mg/kg)","Total Solid (%w/w)","Total Polychlorinated Biphenyls (μg/kg)","Total Phosphorus (mg/kg)","Total Kjeldahl Nitrogen (mg/kg)","Total Cyanide (mg/kg)","Total Carbon (%w/w)","Silver (mg/kg)","Pyrene (μg/kg)","Phenanthrene (μg/kg)","Particle Size Fraction <63 micrometer (%w/w)","Nickel (mg/kg)","Naphthalene (μg/kg)","Mercury (mg/kg)","Manganese (mg/kg)","Lead (mg/kg)","Iron (mg/kg)","Indeno(1,2,3-cd)pyrene (μg/kg)","Fluorene (μg/kg)","Fluoranthene (μg/kg)","Electrochemical Potential (mV)","Dry Wet Ratio","Dibenzo(ah)anthracene (μg/kg)","Copper (mg/kg)","Chrysene (μg/kg)","Chromium (mg/kg)","Chemical Oxygen Demand (mg/kg)","Cadmium (mg/kg)","Boron (mg/kg)","Benzo(k)fluoranthene (μg/kg)","Benzo(ghi)perylene (μg/kg)","Benzo(b)fluoranthene (μg/kg)","Benzo(a)pyrene (μg/kg)","Benzo(a)anthracene (μg/kg)","Barium (mg/kg)","Arsenic (mg/kg)","Anthracene (μg/kg)","Ammonia Nitrogen (mg/kg)","Aluminium (mg/kg)","Acenaphthylene (μg/kg)","Acenaphthene (μg/kg)"
"North Western","NS2","2017-01-20","1","Bulk Sample","120","27","6.6","6.4","60","18","250","390","0.1","0.9","<0","6","10","64","16","80","0.07","480","33","26000","10","<10","7","-160","0.55","10","31","<5","26","11000","<0.1","7","5","13","10","12","4","23","10","<5","6.9","20000","<50","<50"
"North Western","NS2","2017-07-28","1","Bulk Sample","79","23","4.8","2.7","63","18","200","280","<0.1","1","<0","6","<5","N/A","13","78","0.07","530","29","23000","6","<10","<5","-59","0.61","<5","17","<5","21","12000","<0.1","10","3","8","5","4","<3","41","7.7","<5","6.9","23000","<50","<50"
"North Western","NS2","2018-03-08","1","Bulk Sample","110","24","6.9","4.2","57","18","280","500","0.1","0.9","<0","8","<5","34","16","<60","0.07","580","41","40000","<5","<10","7","-69","0.59","<5","23","<5","26","12000","<0.1","12","3","6","4","5","3","24","10","<5","9.3","20000","<50","<50"
"North Western","NS2","2018-07-11","1","Bulk Sample","220","50","7.8","76","39","18","170","380","0.1","0.5","0","9","<5","97","30","<60","0.11","770","53","38000","9","<10","7","-170","0.38","<5","48","7","48","13000","<0.1","20","4","11","7","8","4","43","14","<5","0.23","35000","<50","<50"
"North Western","NS2","2019-01-14","1","Bulk Sample","180","43","7.3","7.9","52","18","230","540","0.1","0.5","0","9","7","71","26","<60","0.12","650","90","40000","6","<10","10","-125","0.46","<5","44","<5","48","9200","0.1","17","3","6","6","5","4","26","23","<5","0.46","21000","<50","<50"
"North Western","NS2","2019-08-28","1","Bulk Sample","200","38","7.4","72","44","18","220","530","0.1","0.5","0","5","<5","88","23","79","0.12","570","43","32000","5","<10","6","-148","0.43","<5","37","<5","36","13000","<0.1","15","3","10","6","7","3","33","11","<5","5.5","27000","<50","<50"
"North Western","NS2","2020-06-24","1","Bulk Sample","140","26","6","2.5","49","18","200","450","<0.1","0.5","<0","18","<5","47","16","<60","0.1","520","36","29000","14","<10","11","-152","0.5","<5","27","<5","27","12000","<0.1","11","6","17","10","16","6","24","11","<5","5.3","22000","<50","<50"
"North Western","NS2","2020-11-27","1","Bulk Sample","100","28","4.9","3.2","57","18","210","470","0.1","0.6","0","7","<5","20","17","<60","0.09","400","38","26000","6","<10","7","-129","0.55","<5","29","<5","30","11000","0.1","12","3","8","5","6","4","27","9.6","<5","3.5","19000","<50","<50"
"North Western","NS2","2021-05-14","1","Bulk Sample","180","27","6.8","77","44","18","N/A","N/A","0.2","0.5","0","13","11","97","16","<60","0.06","630","42","37000","8","<10","11","-151","0.51","11","27","7","28","11000","0.1","15","5","13","6","9","5","29","9.9","<5","3.6","30000","<50","<50"
"North Western","NS2","2021-08-30","1","Bulk Sample","200","67","6.9","72","43","18","N/A","N/A","0.1","0.5","0","15","10","88","31","<60","0.14","630","50","37000","10","<10","12","-85","0.42","18","42","8","53","11000","<0.1","50","6","14","8","13","6","110","14","<5","11","62000","<50","<50"
"North Western","NS2","2022-03-02","1","Bulk Sample","150","36","7","26","37","18","190","370","0.1","0.5","0","15","<5","82","25","<60","0.11","650","52","36000","12","<10","12","-158","0.38","<5","41","8","44","10000","0.1","54","6","13","10","12","6","47","13","<5","0.79","36000","<50","<50"
"North Western","NS2","2022-08-01","1","Bulk Sample","150","42","6.7","26","41","18","220","480","<0.1","0.5","0","17","<5","37","30","<60","0.14","600","41","37000","8","<10","12","-95","0.4","<5","44","8","55","16000","<0.1","31","6","14","6","9","6","97","13","<5","<0.05","52000","<50","<50"
"North Western","NS2","2023-05-20","1","Bulk Sample","130","45","7.8","17","47","18","230","510","<0.1","0.9","0","86","31","88","27","<60","0.1","750","45","38000","32","<10","70","-121","0.43","<5","39","31","47","11000","<0.1","20","19","36","24","50","37","56","15","10","17","35000","<50","<50"
"North Western","NS2","2023-11-29","1","Bulk Sample","130","43","7.8","48","51","18","250","760","<0.1","1.6","0","38","8","87","23","<60","0.14","500","44","24000","17","<10","30","-101","0.42","<5","34","19","38","19000","<0.1","23","11","26","15","30","18","130","8.5","<5","16","48000","<50","<50"
"North Western","NS2","2024-03-13","1","Bulk Sample","85","31","6.9","22","46","18","220","410","<0.1","0.6","0","47","11","82","17","<60","0.1","340","28","20000","35","<10","38","-125","0.46","<5","27","27","28","13000","<0.1","24","22","39","32","41","32","77","6","<5","8.6","37000","<50","<50"
"North Western","NS2","2024-09-21","1","Bulk Sample","120","44","6.5","56","45","18","240","430","0.1","0.6","0","110","7","86","22","<60","0.07","500","40","29000","32","<10","60","-99","0.41","14","33","22","39","12000","<0.1","12","19","41","30","51","22","63","10","<5","12","38000","<50","<50"
"North Western","NS3","1986-07-14","1","Bulk Sample","82","N/A","3.9","N/A","54.6","N/A","260","520","0","1.1","N/A","N/A","N/A","N/A","8","N/A","0.18","520","39","20000","N/A","N/A","N/A","N/A","0.4","N/A","41","N/A","20","8400","0.1","2","N/A","N/A","N/A","N/A","N/A","N/A","6.1","N/A","5.2","N/A","N/A","N/A"
"North Western","NS3","1987-01-05","1","Bulk Sample","39","N/A","3.7","N/A","61","N/A","110","77","0","0.6","N/A","N/A","N/A","N/A","7","N/A","0.08","320","27","14000","N/A","N/A","N/A","N/A","0.61","N/A","8","N/A","8","12000","0.1","3","N/A","N/A","N/A","N/A","N/A","N/A","2.9","N/A","8.9","N/A","N/A","N/A"
"North Western","NS3","1987-08-28","1","Bulk Sample","79","N/A","3.5","22","47","N/A","610","1100","<0","1.3","N/A","N/A","N/A","N/A","17","N/A","0.24","470","41","42000","N/A","N/A","N/A","N/A","0.46","N/A","41","N/A","35","18000","0.1","11","N/A","N/A","N/A","N/A","N/A","N/A","7.6","N/A","1.6","N/A","N/A","N/A"
"North Western","NS3","1988-02-25","1","Bulk Sample","95","N/A","9","0.7","47","N/A","180","360","0.1","1.1","N/A","N/A","N/A","N/A","8","N/A","1.28","900","40","46000","N/A","N/A","N/A","N/A","0.39","N/A","43","N/A","33","140","0.1","1","N/A","N/A","N/A","N/A","N/A","N/A","12","N/A","0.18","N/A","N/A","N/A"
"North Western","NS3","1988-08-09","1","Bulk Sample","52","N/A","6.5","6.8","51","N/A","140","340","<0","0.9","N/A","N/A","N/A","55","10","N/A","0.2","400","28","18000","N/A","N/A","N/A","-281","0.51","N/A","34","N/A","17","14000","0.1","11","N/A","N/A","N/A","N/A","N/A","N/A","2.4","N/A","8.5","N/A","N/A","N/A"
"North Western","NS3","1989-05-29","1","Bulk Sample","44","N/A","6.5","0.8","57","N/A","130","290","<0","1.6","N/A","N/A","N/A","56","16","N/A","0.09","480","26","24000","N/A","N/A","N/A","-334","0.57","N/A","11","N/A","17","20000","1.4","20","N/A","N/A","N/A","N/A","N/A","N/A","6","N/A","0.08","N/A","N/A","N/A"
"North Western","NS3","1990-08-02","1","Bulk Sample","64","N/A","8.5","0.1","62","N/A","1200","520","<0","1","N/A","N/A","N/A","86","14","N/A","0.64","490","39","25000","N/A","N/A","N/A","-432","0.45","N/A","39","N/A","29","18000","2.9","43","N/A","N/A","N/A","N/A","N/A","N/A","11","N/A","2.3","12000","N/A","N/A"
"North Western","NS3","1991-09-09","1","Bulk Sample","120","N/A","8.5","0.2","41","N/A","470","1200","<0","0.3","N/A","N/A","N/A","94","25","N/A","<0.05","670","71","32000","N/A","N/A","N/A","-118","0.41","N/A","79","N/A","49","11000","10","49","N/A","N/A","N/A","N/A","N/A","N/A","25","N/A","18.1","25000","N/A","N/A"
"North Western","NS3","1992-07-15","1","Bulk Sample","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"North Western","NS3","1992-11-13","1","Bulk Sample","130","N/A","10","9.1","44","N/A","230","450","N/A","0.7","N/A","N/A","N/A","88","28","N/A","0.18","650","46","37000","N/A","N/A","N/A","-122","0.45","N/A","84","N/A","58","16000","<0.5","22","N/A","N/A","N/A","N/A","N/A","N/A","12","N/A","4.2","27000","N/A","N/A"
"North Western","NS3","1993-03-29","1","Bulk Sample","97","N/A","7.2","10","43","N/A","220","140","<0.1","0.5","N/A","N/A","N/A","95","22","N/A","0.14","580","41","35000","N/A","N/A","N/A","-153","0.43","N/A","39","N/A","35","16000","<0.5","33","N/A","N/A","N/A","N/A","N/A","N/A","15","N/A","7.89","20000","N/A","N/A"
"North Western","NS3","1993-05-14","1","Bulk Sample","96","N/A","6.9","2.5","42","N/A","300","310","<0.1","0.4","N/A","N/A","N/A","96","25","N/A","<0.12","600","37","37000","N/A","N/A","N/A","-86","0.42","N/A","32","N/A","39","16000","<0.5","24","N/A","N/A","N/A","N/A","N/A","N/A","11","N/A","16.5","23000","N/A","N/A"
"North Western","NS3","1994-03-09","1","Bulk Sample","95","N/A","9.3","0.3","40","N/A","160","260","<0.1","0.3","N/A","N/A","N/A","98","22","N/A","<0.13","590","35","39000","N/A","N/A","N/A","-40","0.4","N/A","25","N/A","36","12000","0.2","24","N/A","N/A","N/A","N/A","N/A","N/A","16","N/A","19.6","21000","N/A","N/A"
"North Western","NS3","1994-07-28","1","Bulk Sample","86","N/A","8.3","0.6","45","N/A","140","340","0.1","0.5","N/A","N/A","N/A","98","17","N/A","<0.11","450","36","32000","N/A","N/A","N/A","-30","0.45","N/A","21","N/A","28","14000","0.1","18","N/A","N/A","N/A","N/A","N/A","N/A","12","N/A","11","16000","N/A","N/A"
"North Western","NS3","1995-01-06","1","Bulk Sample","92","N/A","5.8","3","43","N/A","180","340","<0.1","0.5","N/A","N/A","N/A","95","19","N/A","<0.12","540","35","34000","N/A","N/A","N/A","-124","0.42","N/A","26","N/A","33","14000","0.1","21","N/A","N/A","N/A","N/A","N/A","N/A","15","N/A","11","20000","N/A","N/A"
"North Western","NS3","1995-09-13","1","Bulk Sample","80","34","6.3","0.8","46","N/A","120","680","<0.1","0.5","N/A","N/A","N/A","92","20","N/A","<0.1","490","35","32000","N/A","N/A","N/A","-168","0.48","N/A","24","N/A","32","12000","<0.1","15","N/A","N/A","N/A","N/A","N/A","19","14","N/A","4.7","15000","N/A","N/A"
"North Western","NS3","1996-01-10","1","Bulk Sample","97","35","6.8","7","43","N/A","150","340","<0.1","0.5","N/A","N/A","N/A","83","31","N/A","<0.03","580","37","33000","N/A","N/A","N/A","-161","0.41","N/A","37","N/A","48","14000","<0.1","25","N/A","N/A","N/A","N/A","N/A","30","14","N/A","23","19000","N/A","N/A"
"North Western","NS3","1996-07-04","1","Bulk Sample","94","34","6.6","42","49","N/A","130","420","<0.1","0.5","N/A","N/A","N/A","84","22","N/A","0.09","500","35","34000","N/A","N/A","N/A","-115","0.43","N/A","34","N/A","35","17000","<0.1","25","N/A","N/A","N/A","N/A","N/A","31","12","N/A","1.6","27000","N/A","N/A"
"North Western","NS3","1997-01-06","1","Bulk Sample","94","32","7.3","23","51","N/A","140","200","<0.1","0.6","<1","<5","6","84","19","N/A","0.07","490","35","33000","N/A","<10","6","-192","0.5","N/A","30","5","33","14000","<0.1","21","2","6","3","<1","N/A","29","12","<5","2","26000","N/A","N/A"
"North Western","NS3","1997-09-11","1","Bulk Sample","110","39","6.6","3.8","46","N/A","180","320","<0.1","0.6","<1","24","<5","91","21","N/A","0.09","490","46","32000","<5","<10","18","-257","0.57","<5","39","<5","35","14000","0.1","18","4","8","5","8","<10","33","14","<5","16","26000","<250","<100"
"North Western","NS3","1998-03-09","1","Bulk Sample","110","39","6.5","<0.2","47","N/A","190","360","<0.1","0.6","<1","8","<5","74","22","N/A","0.1","510","43","33000","<5","<10","10","-24","0.47","<5","41","<5","39","11000","<0.1","25","3","5","6","5","<10","35","14","<5","3.7","29000","<250","<100"
"North Western","NS3","1998-09-14","1","Bulk Sample","100","41","7.5","94","50","N/A","150","300","<0.1","0.6","<1","<5","6","87","20","N/A","0.15","440","54","31000","<5","<10","7","-68","0.44","<5","36","<5","34","17000","<0.1","22","2","4","5","3","<5","30","13","<5","10","25000","<250","<100"
"North Western","NS3","1999-02-11","1","Seived Sample (<63 micrometer)","130","47","8","14","44"," 10","170","310","<0.1","0.5","<1"," 23"," 17","66","29","N/A","0.14","560","54","37000"," 9","<10"," 18","-89","0.43","<5","64"," 13","47","16000","0.1","25"," 8"," 12"," 14"," 9"," 10","40","16","<5","2.1","32000","<50","<50"
"North Western","NS3","1999-02-11","1","Bulk Sample","97","35","6.7","27","54"," 14","160","280","<0.1","0.6","<1"," 19"," 16","66","20","N/A","0.11","440","39","29000"," 11","<10"," 19","-89","0.54","<5","47"," 7","34","18000","<0.1","20"," 7"," 12"," 14"," 9"," 10","31","12","<5","0.5","24000","<50","<50"
"North Western","NS3","1999-09-27","1","Bulk Sample","91","37","6","4.7","53","8","190","330","0.1","0.7","<1","31","26","71","17","N/A","0.09","460","41","30000","33","<10","44","-168","0.54","<5","36","30","33","18000","0.1","23","25","27","44","28","31","29","12","<5","4.1","22000","<50","<50"
"North Western","NS3","1999-09-27","1","Seived Sample (<63 micrometer)","110","45","7.1","0.9","44","<5","190","340","0.1","0.5","<1","9","7","71","23","N/A","0.12","530","50","35000","5","<10","10","-168","0.44","<5","44","6","42","15000","0.1","25","4","6","8","3","5","34","14","<5","3.7","29000","<50","<50"
"North Western","NS3","2000-01-12","1","Bulk Sample","110","46","7.2","19","51","15","170","320","<0.1","0.5","<1","<5","13","5","24","N/A","0.16","540","45","34000","<5","<10","16","-181","0.53","<5","47","<5","41","17000","0.1","21","4","9","9","7","4","37","14","<5","4.6","31000","<50","<50"
"North Western","NS3","2000-01-12","1","Seived Sample (<63 micrometer)","160","64","7.6","1.8","43","23","190","350","0.1","0.5","<1","<5","9","5","35","N/A","0.29","720","66","47000","7","<10","14","-181","0.42","<5","71","<5","61","15000","0.1","33","4","9","9","9","5","53","20","<5","2.8","46000","<50","<50"
"North Western","NS3","2000-07-17","1","Bulk Sample","53","17","4.5","5.2","62","<5","190","330","<0.1","0.5","<1","<5","<5","31","10","N/A","0.06","280","20","16000","<5","<10","6","-18","0.67","<5","17","<5","16","17000","0.3","11","3","5","7","6","3","17","6.5","<5","12","13000","<50","<50"
"North Western","NS3","2000-07-17","1","Seived Sample (<63 micrometer)","140","51","7.4","2.3","38","<5","240","470","<0.1","0.5","<1","7","7","31","27","N/A","0.13","640","51","37000","6","<10","11","-18","0.33","<5","51","6","47","13000","0.2","29","4","7","9","7","5","44","16","<5","19","39000","<50","<50"
"North Western","NS3","2001-01-15","1","Bulk Sample","48","21","3.1","6.2","69","<5","150","250","<0.1","0.4","<1","<5","<5","26","10","N/A","0.06","230","21","15000","<5","<10","6","-56","0.69","<5","19","<5","18","8400","<0.1","12","2","4","4","3","<3","19","6.3","<5","4","15000","<50","<50"
"North Western","NS3","2001-01-15","1","Seived Sample (<63 micrometer)","130","56","7.9","2","39","<5","210","400","0.1","0.4","<1","11","9","26","30","N/A","0.14","640","53","38000","9","<10","17","-56","0.37","<5","55","13","52","13000","<0.1","33","7","12","14","13","9","55","15","<5","1.3","44000","<50","<50"
"North Western","NS3","2001-08-16","1","Bulk Sample","120","50","7.4","32","54","<5","210","280","0.1","0.7","<1","20","14","82","23","N/A","0.15","620","44","35000","8","<10","14","-106","0.55","<5","39","15","41","16000","0.1","25","7","9","13","12","6","44","14","<5","3.5","36000","<50","<50"
"North Western","NS3","2001-08-16","1","Seived Sample (<63 micrometer)","140","59","8.1","16","47","<5","190","290","0.1","0.5","<1","20","14","82","28","N/A","0.17","630","55","40000","9","<10","14","-106","0.46","<5","45","17","48","16000","0.1","27","8","12","14","11","6","48","17","<5","5.4","42000","<50","<50"
"North Western","NS3","2002-01-09","1","Bulk Sample","61","39","5.6","24","59","18","240","340","<0.1","0.5","<1","9","<5","66","16","<60","0.16","440","38","27000","6","<10","5","-194","0.57","<5","25","<5","26","14000","<0.1","19","4","9","7","6","3","29","11","<5","6.1","23000","<50","<50"
"North Western","NS3","2002-08-01","1","Bulk Sample","110","54","7.2","20","54","18","210","260","0.5","0.7","<1","11","6","67","25","<60","0.19","510","44","33000","9","<10","9","-230","0.52","<5","36","6","39","15000","0.1","28","7","13","10","12","7","42","13","<5","6.7","36000","<50","<50"
"North Western","NS3","2003-01-17","1","Bulk Sample","86","36","4.7","30","65","18","200","290","<0.1","0.8","0","11","<5","23","19","<60","0.13","420","38","27000","<5","<10","6","-212","0.6","<5","36","<5","29","13000","<0.1","20","3","6","6","6","4","27","9.3","<5","7.1","23000","<50","<50"
"North Western","NS3","2003-07-17","1","Bulk Sample","98","41","6.4","6.5","54","18","86","120","0.2","0.6","0","10","<5","53","23","<60","0.12","470","32","30000","<5","<10","5","-236","0.56","<5","33","<5","35","19000","<0.1","24","2","5","3","4","<3","38","9.8","<5","6","33000","<50","<50"
"North Western","NS3","2004-01-26","1","Bulk Sample","100","30","4.6","5.3","67","18","120","220","0.1","0.7","0","7","<5","46","17","<60","0.07","660","37","40000","<5","<10","6","-138","0.65","<5","20","<5","26","16000","<0.1","29","2","4","4","5","3","21","9.1","<5","16","20000","<50","<50"
"North Western","NS3","2004-07-07","1","Bulk Sample","88","45","4.7","4.8","64","18","240","440","0.2","0.5","0","18","<5","71","20","<60","0.13","430","43","27000","11","<10","16","-105","0.57","<5","24","15","31","15000","<0.1","21","7","12","14","14","4","35","11","<5","0.12","31000","<50","<50"
"North Western","NS3","2005-03-14","1","Bulk Sample","110","52","6.8","36","51","18","250","410","0.1","0.5","0","15","7","84","23","<60","0.15","510","40","32000","7","<10","12","-140","0.48","<5","29","<5","36","15000","0.1","26","4","10","10","7","5","37","14","<5","1.7","35000","<50","<50"
"North Western","NS3","2005-08-05","1","Bulk Sample","120","40","6.5","65","49","18","200","350","0.1","0.6","0","20","7","78","24","<60","0.12","530","45","32000","8","<10","13","-204","0.46","<5","48","9","42","18000","0.1","24","4","11","10","8","7","41","12","<5","4.3","33000","<50","<50"
"North Western","NS3","2006-01-06","1","Bulk Sample","62","20","4.3","20","68","18","130","270","<0.1","1","<0","17","<5","34","11","<60","0.06","420","27","21000","<5","<10","5","-86","0.65","<5","18","<5","20","23000","<0.1","15","1","5","4","3","<3","18","9.7","<5","4.2","14000","<50","<50"
"North Western","NS3","2006-07-10","1","Bulk Sample","95","37","7.5","5.4","49","18","210","350","0.2","0.6","0","5","<5","87","23","<60","0.13","460","41","29000","7","<10","8","-150","0.5","<5","27","<5","31","15000","<0.1","19","4","8","8","7","4","31","12","<5","1.6","29000","<50","<50"
"North Western","NS3","2007-01-16","1","Bulk Sample","74","28","3.1","3.9","70","18","190","330","0.1","0.5","<0","6","<5","48","15","<60","0.08","340","27","21000","5","<10","7","-186","0.65","<5","23","<5","23","9700","<0.1","14","3","5","6","5","3","22","8.3","<5","0.06","20000","<50","<50"
"North Western","NS3","2007-07-04","1","Bulk Sample","92","43","7.2","2.2","52","18","210","300","<0.1","0.5","<0","<5","<5","74","20","<60","0.13","500","36","31000","6","<10","6","-192","0.5","<5","26","<5","32","11000","<0.1","18","3","6","7","5","4","29","13","<5","<0.05","27000","<50","<50"
"North Western","NS3","2008-01-28","1","Bulk Sample","85","21","5.5","11","56","18","140","170","0.2","1","0","<5","<5","43","17","<60","0.07","470","31","28000","<5","<10","6","-340","0.57","<5","23","<5","22","15000","<0.1","19","1","3","2","<1","<3","26","8.3","<5","21","23000","<50","<50"
"North Western","NS3","2008-07-09","1","Bulk Sample","96","41","6.8","1.9","57","18","190","310","0.1","0.9","<0","12","<5","72","20","<60","0.16","570","43","33000","6","<10","7","-243","0.51","<5","23","<5","36","15000","0.1","22","3","8","6","5","4","40","14","<5","4","32000","<50","<50"
"North Western","NS3","2009-02-05","1","Bulk Sample","110","37","6.6","110","44","18","210","430","0.2","0.7","0","19","7","96","21","<60","0.09","570","41","29000","8","<10","16","-293","0.39","<5","38","<5","36","12000","<0.1","20","4","11","12","8","10","32","10","<5","0.62","30000","<50","<50"
"North Western","NS3","2009-08-26","1","Bulk Sample","120","42","6.9","31","46","18","220","430","0.3","0.7","1","15","6","91","26","<60","0.12","840","47","37000","8","<10","12","-210","0.36","<5","48","6","42","17000","0.1","24","4","17","10","8","5","37","13","<5","21","35000","<50","<50"
"North Western","NS3","2010-01-18","1","Bulk Sample","130","32","7.2","89","46","18","190","400","0.2","0.6","0","9","<5","81","23","<60","0.1","620","48","46000","7","<10","6","-145","0.45","<5","41","10","41","15000","<0.1","28","3","11","5","7","<3","33","12","<5","5","35000","<50","<50"
"North Western","NS3","2010-07-23","1","Bulk Sample","130","39","6.9","100","43","18","190","380","0.2","0.6","0","14","8","95","24","<60","0.1","670","51","40000","12","<10","18","-42","0.4","<5","45","8","44","15000","<0.1","21","6","14","17","12","8","34","11","<5","0.05","37000","<50","<50"
"North Western","NS3","2011-02-16","1","Bulk Sample","82","54","6.6","6.3","54","18","170","250","0.1","0.8","<0","29","<5","82","20","<60","0.15","510","45","39000","16","<10","28","-140","0.51","<5","24","12","38","11000","0.1","17","9","19","19","18","15","33","14","<5","3.4","34000","<50","<50"
"North Western","NS3","2011-08-24","1","Bulk Sample","63","24","5.1","0.4","59","18","170","320","0.1","1.2","<0","8","8","44","15","<60","0.13","570","35","40000","6","<10","6","-390","0.52","<5","13","8","23","9400","<0.1","21","4","8","10","8","9","24","13","<5","15","22000","<50","<50"
"North Western","NS3","2012-02-23","1","Bulk Sample","120","31","7","130","43","18","160","360","0.2","0.6","0","12","12","85","21","<60","0.12","630","47","40000","12","<10","14","-127","0.43","<5","36","<5","37","13000","<0.1","26","6","15","13","13","9","32","10","<5","4.5","32000","<50","<50"
"North Western","NS3","2012-07-13","1","Bulk Sample","96","34","4.9","14","48","18","200","470","<0.1","0.5","0","14","<5","20","20","<60","0.1","610","36","29000","10","<10","14","-128","0.43","<5","33","6","31","11000","<0.1","19","5","13","12","11","7","27","9.3","<5","0.13","22000","<50","<50"
"North Western","NS3","2013-01-28","1","Bulk Sample","110","39","7.3","76","40","18","230","570","0.2","0.6","0","48","280","57","21","150","0.13","650","40","31000","12","20","27","-111","0.39","<5","38","12","35","13000","<0.1","26","10","27","16","20","16","31","11","<5","10","27000","<50","<50"
"North Western","NS3","2013-07-09","1","Bulk Sample","100","37","5","23","59","18","180","310","0.1","0.8","0","110","56","28","23","<60","0.13","550","38","33000","50","<10","130","-228","0.47","5","36","67","33","14000","0.1","22","38","59","77","85","73","31","12","15","12","25000","<50","<50"
"North Western","NS3","2014-01-24","1","Bulk Sample","110","36","9.6","72","42","18","230","540","0.1","0.6","0","10","11","84","19","<60","0.1","610","26","32000","8","<10","14","-159","0.39","<5","29","<5","30","12000","<0.1","20","4","20","7","8","5","25","9.7","<5","1","24000","<50","<50"
"North Western","NS3","2014-08-27","1","Bulk Sample","68","24","6.3","6.8","62","18","240","370","<0.1","1.1","<0","14","7","35","11","<60","0.07","580","27","31000","<5","<10","<5","-375","0.62","<5","13","<5","19","11000","<0.1","28","2","6","3","4","<3","19","8.4","<5","1.1","16000","<50","<50"
"North Western","NS3","2015-01-29","1","Bulk Sample","94","34","7.2","5.5","56","18","260","480","0.1","0.8","<0","28","18","53","14","<60","0.11","510","36","31000","6","<10","13","-321","0.54","<5","19","<5","27","11000","0.1","13","4","10","8","6","6","26","10","<5","0.07","23000","<50","<50"
"North Western","NS3","2015-07-15","1","Bulk Sample","83","21","5","53","63","18","210","460","<0.1","0.8","<0","22","10","46","12","<60","0.08","390","28","29000","<5","<10","<5","-382","0.6","<5","18","<5","23","13000","<0.1","10","2","5","4","3","<3","18","7.7","<5","31","15000","<50","<50"
"North Western","NS3","2016-02-01","1","Bulk Sample","100","24","6.2","1.6","57","18","240","440","0.1","0.9","0","39","16","61","17","<60","0.09","430","35","33000","7","<10","11","-167","0.51","<5","24","5","29","13000","<0.1","15","4","9","5","6","4","21","9.7","<5","0.18","17000","<50","<50"
"North Western","NS3","2016-07-19","1","Bulk Sample","160","45","7.8","52","44","18","240","530","0.2","0.6","0","25","<5","96","27","<60","0.14","750","53","40000","8","<10","15","-177","0.42","<5","51","8","45","11000","0.2","11","5","13","8","8","7","32","16","<5","0.78","27000","<50","<50"
"North Western","NS3","2017-01-20","1","Bulk Sample","120","35","7.3","230","44","18","230","470","0.1","0.6","<0","18","6","90","21","74","0.09","820","42","34000","11","<10","18","-195","0.4","<5","33","7","33","15000","<0.1","11","7","20","11","17","5","33","14","<5","18","26000","<50","<50"
"North Western","NS3","2017-07-28","1","Bulk Sample","92","24","8.5","3.3","45","18","230","480","0.1","0.7","<0","10","6","N/A","15","160","0.11","770","36","31000","6","<10","6","-160","0.46","<5","24","<5","24","15000","<0.1","8","3","7","4","4","<3","17","12","<5","7.6","13000","<50","<50"
"North Western","NS3","2018-03-08","1","Bulk Sample","96","22","7.3","48","51","18","230","440","0.2","0.7","<0","6","<5","41","14","<60","0.08","520","33","29000","<5","<10","<5","-129","0.52","<5","20","<5","23","14000","<0.1","10","2","6","4","3","<3","21","11","<5","7.7","17000","<50","<50"
"North Western","NS3","2018-07-11","1","Bulk Sample","110","38","6.9","52","45","18","220","400","0.1","0.7","<0","9","<5","79","22","<60","0.12","690","44","36000","16","<10","6","-217","0.48","<5","35","5","36","13000","<0.1","12","4","19","8","15","<3","29","14","<5","0.4","24000","<50","<50"
"North Western","NS3","2019-01-14","1","Bulk Sample","100","30","6.8","27","50","18","230","470","<0.1","0.6","<0","6","<5","62","18","<60","0.1","540","36","28000","7","<10","6","-153","0.5","<5","26","<5","29","12000","<0.1","15","3","10","6","6","3","28","15","<5","6.4","22000","<50","<50"
"North Western","NS3","2019-08-28","1","Bulk Sample","160","23","5.9","74","59","18","230","430","0.1","0.8","<0","<5","10","47","13","<60","0.06","550","36","32000","<5","<10","<5","-125","0.58","<5","17","<5","22","14000","<0.1","11","2","7","3","4","<3","20","9.7","<5","14","18000","<50","<50"
"North Western","NS3","2020-06-24","1","Bulk Sample","120","27","5.3","3.7","59","18","180","380","0.1","0.6","0","20","6","25","16","<60","0.09","530","36","27000","20","<10","12","-151","0.46","<5","28","5","28","16000","<0.1","9","10","24","14","25","9","24","11","<5","8","16000","<50","<50"
"North Western","NS3","2020-11-27","1","Bulk Sample","120","35","5.3","68","51","18","220","530","0.2","0.6","0","12","<5","96","21","<60","0.1","620","39","32000","6","<10","8","-134","0.45","<5","32","6","34","13000","<0.1","14","3","10","6","8","5","34","12","<5","1.2","24000","<50","<50"
