"Water Control Zone","Station","Dates","Sample No","Type","Zinc (mg/kg)","Vanadium (mg/kg)","Total Volatile Solid (% Total Solid)","Total Sulphide (mg/kg)","Total Solid (%w/w)","Total Polychlorinated Biphenyls (μg/kg)","Total Phosphorus (mg/kg)","Total Kjeldahl Nitrogen (mg/kg)","Total Cyanide (mg/kg)","Total Carbon (%w/w)","Silver (mg/kg)","Pyrene (μg/kg)","Phenanthrene (μg/kg)","Particle Size Fraction <63 micrometer (%w/w)","Nickel (mg/kg)","Naphthalene (μg/kg)","Mercury (mg/kg)","Manganese (mg/kg)","Lead (mg/kg)","Iron (mg/kg)","Indeno(1,2,3-cd)pyrene (μg/kg)","Fluorene (μg/kg)","Fluoranthene (μg/kg)","Electrochemical Potential (mV)","Dry Wet Ratio","Dibenzo(ah)anthracene (μg/kg)","Copper (mg/kg)","Chrysene (μg/kg)","Chromium (mg/kg)","Chemical Oxygen Demand (mg/kg)","Cadmium (mg/kg)","Boron (mg/kg)","Benzo(k)fluoranthene (μg/kg)","Benzo(ghi)perylene (μg/kg)","Benzo(b)fluoranthene (μg/kg)","Benzo(a)pyrene (μg/kg)","Benzo(a)anthracene (μg/kg)","Barium (mg/kg)","Arsenic (mg/kg)","Anthracene (μg/kg)","Ammonia Nitrogen (mg/kg)","Aluminium (mg/kg)","Acenaphthylene (μg/kg)","Acenaphthene (μg/kg)"
"Deep Bay","DS1","1999-08-02","1","Seived Sample (<63 micrometer)","100","31","6","5.6","41","11","170","250","0.1","0.4","<1","9","<5","84","39","N/A","<0.05","600","54","35000","<5","<10","8","-368","0.4","<5","17","7","86","19000","0.1","21","<1","2","2","1","<3","35","10","<5","1.3","34000","<50","<50"
"Deep Bay","DS1","1999-08-02","1","Bulk Sample","86","28","5.5","12","46","9","140","220","0.1","0.3","<1","7","<5","84","14","N/A","<0.05","510","44","30000","<5","<10","6","-368","0.46","<5","14","6","28","19000","0.1","19","<1","2","3","1","<3","29","10","<5","2.4","29000","<50","<50"
"Deep Bay","DS1","2000-01-07","1","Seived Sample (<63 micrometer)","380","49","9.6","310","38","27","550","N/A","0.4","0.7","1","42","19","94","30","N/A","0.14","450","92","40000","16","<10","47","-176","0.37","<5","97","58","55","21000","0.5","19","12","16","33","17","16","78","20","10","38","50000","<50","<50"
"Deep Bay","DS1","2000-01-07","1","Bulk Sample","360","48","9.2","880","39","24","500","620","0.4","0.7","1","22","11","94","26","N/A","0.13","420","87","38000","17","<10","43","-176","0.38","<5","91","49","50","23000","0.5","20","11","16","34","16","19","77","20","10","38","46000","<50","<50"
"Deep Bay","DS1","2000-07-21","1","Seived Sample (<63 micrometer)","340","48","8.9","76","36","7","550","620","0.4","0.6","1","16","30","99","34","N/A","0.19","550","84","41000","15","<10","29","-304","0.34","<5","100","<5","60","22000","0.5","16","9","16","18","14","11","70","17","7","32","50000","<50","<50"
"Deep Bay","DS1","2000-07-21","1","Bulk Sample","340","47","9","240","34","<5","620","800","0.4","0.6","1","9","35","99","31","N/A","0.16","540","83","40000","14","<10","28","-304","0.32","<5","98","10","57","22000","0.5","15","8","12","17","12","11","74","17","8","39","49000","<50","<50"
"Deep Bay","DS1","2001-01-11","1","Seived Sample (<63 micrometer)","250","50","8","280","42","9","350","510","0.3","0.5","<1","<5","<5","87","33","N/A","0.14","380","72","37000","10","<10","16","-274","0.43","<5","82","6","57","20000","0.4","18","7","12","16","10","5","71","16","<5","3.8","53000","<50","<50"
"Deep Bay","DS1","2001-01-11","1","Bulk Sample","210","43","7.2","370","48","10","320","400","0.1","0.7","<1","<5","<5","87","27","N/A","0.12","310","61","31000","11","<10","16","-274","0.46","<5","65","7","45","21000","0.3","15","7","11","16","11","6","63","13","<5","2.5","44000","<50","<50"
"Deep Bay","DS1","2001-08-22","1","Bulk Sample","270","34","6.8","440","46","<5","250","390","0.1","0.6","<1","18","10","80","24","N/A","0.15","340","67","29000","11","<10","23","-245","0.45","<5","71","16","41","18000","0.5","13","8","13","16","10","8","68","13","<5","14","35000","<50","<50"
"Deep Bay","DS1","2001-08-22","1","Seived Sample (<63 micrometer)","290","46","8.2","330","36","<5","360","570","0.1","0.5","1","24","13","80","30","N/A","0.13","460","78","38000","10","<10","24","-245","0.36","<5","80","19","52","15000","0.4","16","8","12","17","13","8","73","17","<5","41","44000","<50","<50"
"Deep Bay","DS1","2002-02-15","1","Bulk Sample","380","49","7.6","1200","46","18","580","480","0.3","0.6","2","100","8","92","33","<60","0.29","420","86","34000","14","<10","34","-281","0.45","<5","100","140","56","24000","0.6","13","10","16","22","13","3","100","14","11","26","41000","<50","<50"
"Deep Bay","DS1","2002-07-12","1","Bulk Sample","130","33","4.7","370","52","18","210","350","0.2","0.5","<1","27","5","41","24","<60","0.1","280","39","23000","8","<10","23","-321","0.48","<5","44","10","36","18000","0.2","16","8","13","15","14","9","43","10","<5","22","31000","<50","<50"
"Deep Bay","DS1","2003-01-20","1","Bulk Sample","260","46","6.3","680","53","18","230","370","0.3","0.6","1","6","<5","8","30","<60","0.14","290","72","32000","<5","<10","9","-165","0.49","<5","85","8","48","21000","0.4","20","4","5","7","7","4","59","13","<5","2.5","45000","<50","<50"
"Deep Bay","DS1","2003-07-18","1","Bulk Sample","100","33","5.9","29","45","18","270","210","0.2","0.4","<0","<5","<5","91","18","<60","<0.05","490","43","30000","<5","<10","<5","-354","0.46","<5","16","<5","30","15000","<0.1","18","<1","<1","2","<1","<3","34","8.5","<5","20","33000","<50","<50"
"Deep Bay","DS1","2004-01-06","1","Bulk Sample","210","47","7.8","78","48","18","200","230","0.2","0.7","1","9","<5","72","29","<60","0.15","480","65","32000","10","<10","14","-145","0.47","<5","67","11","49","25000","0.4","25","7","10","11","12","10","45","13","<5","33","40000","<50","<50"
"Deep Bay","DS1","2004-07-08","1","Bulk Sample","110","30","6.2","110","46","18","200","420","0.2","0.5","1","24","<5","46","20","<60","0.07","330","40","22000","6","<10","23","-366","0.49","<5","34","11","28","22000","0.2","14","4","9","12","9","9","35","8.6","<5","65","30000","<50","<50"
"Deep Bay","DS1","2005-03-11","1","Bulk Sample","170","35","6.7","350","46","18","220","750","0.3","0.6","1","9","<5","68","23","<60","0.11","270","68","23000","<5","<10","6","-268","0.49","<5","53","7","33","20000","0.3","15","<1","2","3","1","<3","47","9.3","<5","230","30000","<50","<50"
"Deep Bay","DS1","2005-08-19","1","Bulk Sample","110","30","6.5","22","43","18","110","230","<0.1","0.4","0","9","<5","92","22","<60","<0.05","520","47","30000","<5","<10","<5","-311","0.43","<5","21","<5","35","17000","0.1","20","<1","2","2","1","<3","41","9.8","<5","14","38000","<50","<50"
"Deep Bay","DS1","2006-01-19","1","Bulk Sample","190","31","4.3","500","58","18","210","320","0.3","0.6","1","27","5","65","27","<60","0.29","280","52","24000","8","<10","12","-143","0.5","<5","69","8","40","21000","0.3","12","4","13","10","7","4","43","10","<5","79","28000","<50","<50"
"Deep Bay","DS1","2006-07-13","1","Bulk Sample","180","38","6.5","610","53","18","220","400","<0.1","0.6","0","21","<5","78","33","<60","0.12","360","61","30000","5","<10","10","-272","0.5","<5","60","6","47","22000","0.3","10","3","8","8","6","3","59","13","<5","54","36000","<50","<50"
"Deep Bay","DS1","2007-01-19","1","Bulk Sample","560","43","8.8","960","48","18","530","1700","0.2","1.2","3","340","280","75","140","<60","0.4","380","84","29000","32","81","180","-156","0.43","<5","210","140","66","29000","0.7","11","20","42","56","40","29","160","11","30","600","40000","<50","<50"
"Deep Bay","DS1","2007-08-13","1","Bulk Sample","220","22","8","28","37","18","380","570","0.5","0.7","1","52","44","72","22","<60","0.11","190","45","17000","14","<10","43","-298","0.52","<5","64","54","35","23000","0.3","7","8","19","22","15","12","44","7.1","<5","44","21000","<50","<50"
"Deep Bay","DS1","2008-01-07","1","Bulk Sample","280","28","4.5","130","59","18","320","360","0.4","0.6","2","62","69","64","39","<60","0.19","240","53","21000","12","12","54","-246","0.6","<5","90","75","43","21000","0.5","8","9","17","18","13","24","60","8.7","34","44","25000","<50","<50"
"Deep Bay","DS1","2008-07-21","1","Bulk Sample","240","30","6.2","0.5","49","18","230","320","0.2","0.7","1","86","<5","58","24","<60","0.13","330","49","23000","22","<10","39","-249","0.5","<5","60","7","43","23000","0.3","9","12","30","23","22","26","38","8.6","<5","36","29000","<50","<50"
"Deep Bay","DS1","2009-01-12","1","Bulk Sample","210","27","5.2","380","55","18","230","380","0.4","0.6","1","33","7","94","22","<60","0.11","210","50","21000","12","<10","23","-220","0.53","<5","72","<5","43","24000","0.3","10","7","16","16","11","13","27","10","<5","73","23000","<50","<50"
"Deep Bay","DS1","2009-08-20","1","Bulk Sample","270","29","5","360","52","18","320","510","0.3","0.8","1","94","20","18","30","<60","0.24","190","57","23000","19","<10","67","-268","0.49","7","80","7","54","20000","0.4","7","12","25","30","21","30","46","9.5","6","30","24000","<50","<50"
"Deep Bay","DS1","2010-01-15","1","Bulk Sample","270","28","6.4","370","50","18","320","540","0.2","0.8","1","310","52","72","31","<60","0.18","270","61","30000","100","<10","260","-242","0.43","24","90","370","57","22000","0.5","13","62","160","130","150","130","52","12","18","28","30000","<50","<50"
"Deep Bay","DS1","2010-07-15","1","Bulk Sample","150","21","4.8","80","48","18","360","550","0.3","0.8","1","850","350","34","19","<60","0.08","360","42","23000","310","23","810","-210","0.5","91","47","310","35","16000","0.2","6","190","300","410","370","410","28","7.6","87","75","22000","<50","<50"
"Deep Bay","DS1","2011-01-06","1","Bulk Sample","190","25","7.1","320","47","18","300","780","0.3","0.7","1","32","28","62","22","<60","0.11","300","60","27000","14","<10","40","-154","0.47","<5","62","10","38","20000","0.2","11","8","16","15","13","10","30","9.9","<5","260","26000","<50","<50"
"Deep Bay","DS1","2011-07-04","1","Bulk Sample","210","25","3.3","360","61","18","290","440","0.2","0.5","1","100","18","47","23","<60","0.11","210","43","22000","54","<10","130","-240","0.54","20","62","53","39","21000","0.3","7","36","73","84","78","66","41","7.7","16","12","23000","<50","<50"
